Name	Used	Potential
ELECTRICITY	0.002110	Infinity
GASOLINE	0.005855	Infinity
DIESEL	65442.509406	Infinity
BIOETHANOL	0.001864	Infinity
BIODIESEL	0.001839	Infinity
LFO	107075.536398	Infinity
GAS	0.000000	0.000000
IMPORTED_GAS	422123.939745	Infinity
WOOD	66686.218946	215000.000000
WET_BIOMASS	250000.202358	250000.000000
IMPORTED_COAL	8742.511667	Infinity
LOCAL_COAL	0.022409	Infinity
URANIUM	104357.050384	Infinity
WASTE	0.029038	53829.000000
H2	0.000008	Infinity
H2_RE	0.000013	Infinity
AMMONIA	0.001911	Infinity
METHANOL	0.002015	Infinity
AMMONIA_RE	0.002671	Infinity
METHANOL_RE	0.002479	Infinity
ELEC_EXPORT	75955.388612	Infinity
CO2_EMISSIONS	123524.686882	Infinity
RES_WIND	301041.509525	Infinity
RES_SOLAR	178140.929732	Infinity
RES_HYDRO	123005.538699	Infinity
RES_GEO	31621.574911	Infinity
CO2_ATM	0.005234	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
