;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;120;0.413;0.063732;0;
Non-renewable;Fossil fuel;GASOLINE;63438;0.3448;0.065566;0.25;
Non-renewable;Fossil fuel;DIESEL;70949;0.3148;0.063479;0.27;
Renewable;Biofuel;BIOETHANOL;7166;0;0.122503;0.25;
Renewable;Biofuel;BIODIESEL;2541;0;0.131394;0.27;
Non-renewable;Fossil fuel;LFO;625000000000000;0.3115;0.047882;0.26;
Non-renewable;Fossil fuel;GAS;667000000000000;0.2666;0.033637;0.2;
Renewable;Biofuel;GAS_RE;0;0;0.132346;0.2;
Renewable;Biomass;WOOD;1000000000000;0.0118;0.030124;0.39;
Renewable;Biomass;WET_BIOMASS;1000000000000;0.0118;0.005285;0.39;
Non-renewable;Fossil fuel;IMPORTED_COAL;100000000000000;0.4014;0.015545;0.36;
Non-renewable;Fossil fuel;LOCAL_COAL;100000000000000;0.4014;0.015545;0.36;
Non-renewable;Other non-renewable;URANIUM;0;0.0039;0.003876;0;
Non-renewable;Other non-renewable;WASTE;10347;0.1501;0.021188;0.26;
Non-renewable;Other non-renewable;H2;605000000000000;0.414;0.077643;0;
Renewable;Biofuel;H2_RE;0;0;0.137854;0;
Non-renewable;Other non-renewable;AMMONIA;635000000000000;0.285;0.071992;0;
Non-renewable;Other non-renewable;METHANOL;620000000000000;0.35;0.081185;0.25;
Renewable;Biofuel;AMMONIA_RE;0;0;0.092751;0;
Renewable;Biofuel;METHANOL_RE;0;0;0.122503;0.25;
Export;Export;ELEC_EXPORT;567000000000000;0;0;0;
Export;Export;CO2_EMISSIONS;689000000000000;0;0;0;
Renewable;Non-biomass;RES_WIND;683000000000000;0;0;0;
Renewable;Non-biomass;RES_SOLAR;624000000000000;0;0;0;
Renewable;Non-biomass;RES_HYDRO;612000000000000;0;0;0;
Renewable;Non-biomass;RES_GEO;602000000000000;0;0;0;
Others;Others;CO2_ATM ;617000000000000;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;PT_HEAT;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;
