Name	Used	Potential
ELECTRICITY	2228.850973	Infinity
GASOLINE	0.000199	Infinity
DIESEL	32721.232195	Infinity
BIOETHANOL	0.000157	Infinity
BIODIESEL	0.000512	Infinity
LFO	0.012709	Infinity
GAS	202365.267274	Infinity
GAS_RE	0.000068	Infinity
WOOD	206906.499784	215000.000000
WET_BIOMASS	249999.999993	250000.000000
COAL	55634.204676	Infinity
URANIUM	105110.620526	Infinity
WASTE	0.005558	53829.000000
H2	0.000003	Infinity
H2_RE	0.000021	Infinity
AMMONIA	0.000000	Infinity
METHANOL	0.000775	Infinity
AMMONIA_RE	0.000828	Infinity
METHANOL_RE	0.000579	Infinity
ELEC_EXPORT	388.107449	Infinity
CO2_EMISSIONS	170635.099370	Infinity
RES_WIND	144902.477187	Infinity
RES_SOLAR	532013.672475	Infinity
RES_HYDRO	62006.924332	Infinity
RES_GEO	0.011954	Infinity
CO2_ATM	0.000166	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
