;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[MUSD/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;1000000000000000;0;0.03494;0;
Non-renewable;Fossil fuel;GASOLINE;1000000000000000;0.3448;0.03595;0.25;
Non-renewable;Fossil fuel;DIESEL;1000000000000000;0.3148;0.0291;0.27;
Renewable;Biofuel;BIOETHANOL;50000;0;0.0719;0.25;
Renewable;Biofuel;BIODIESEL;50000;0;0.0582;0.27;
Non-renewable;Fossil fuel;LFO;1000000000000000;0.3115;0.02422;0.26;
Non-renewable;Fossil fuel;GAS;1000000000000000;0.2666;0.02107;0.2;
Renewable;Biofuel;IMPORTED_GAS;0;0.2666;0.0323;0.2;
Renewable;Biomass;WOOD;24600;0.0118;0.00519;0.39;
Renewable;Biomass;WET_BIOMASS;29900;0.0118;0.00072;0.39;
Non-renewable;Fossil fuel;IMPORTED_COAL;1000000000000000;0.4014;0.01224;0.36;
Non-renewable;Fossil fuel;LOCAL_COAL;1000000000000000;0.4014;0.00798;0.36;
Non-renewable;Other non-renewable;URANIUM;0;0.0039;0.0043;0;
Non-renewable;Other non-renewable;WASTE;10347;0.1501;0.00288;0.26;
Non-renewable;Other non-renewable;H2;1000000000000000;0.33656;0.11163;0;
Renewable;Biofuel;H2_RE;0;0;0.10684;0;
Non-renewable;Other non-renewable;AMMONIA;1000000000000000;0.285;0.14191;0;
Non-renewable;Other non-renewable;METHANOL;1000000000000000;0.35;0.14387;0.25;
Renewable;Biofuel;AMMONIA_RE;0;0;0.07569;0;
Renewable;Biofuel;METHANOL_RE;0;0;0.10783;0;
Export;Export;ELEC_EXPORT;1000000000000000;0;0.031446;0;
Export_e_fuels;Export_e_fuels;H2_EXPORT;1000000000000000;0;0.090814;0;
Export_e_fuels;Export_e_fuels;GAS_RE_EXPORT;1000000000000000;0;0.090814;0;
Export_e_fuels;Export_e_fuels;AMMONIA_EXPORT;1000000000000000;0;0.0643365;0;
Export_e_fuels;Export_e_fuels;METHANOL_EXPORT;1000000000000000;0;0.0916555;0;
Export;Export;CO2_EMISSIONS;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_WIND;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_GEO;1000000000000000;0;0;0;
Others;Others;CO2_ATM ;1000000000000000;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;PT_HEAT;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;
