;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;2210;0.413;0.0898430;0;
Non-renewable;Fossil fuel;GASOLINE;1000000000000000;0.3448;0.0924284;0.25;
Non-renewable;Fossil fuel;DIESEL;272000;0.3148;0.0894863;0.27;
Renewable;Biofuel;BIOETHANOL;619;0;0.1726925;0.25;
Renewable;Biofuel;BIODIESEL;1330;0;0.1852261;0.27;
Non-renewable;Fossil fuel;LFO;1000000000000000;0.3115;0.0674993;0.26;
Non-renewable;Fossil fuel;GAS;1000000000000000;0.2666;0.0474181;0.2;
Renewable;Biofuel;IMPORTED_GAS;0;0;0.1865682;0.2;
Renewable;Biomass;WOOD;40000;0.0118;0.0424658;0.39;
Renewable;Biomass;WET_BIOMASS;0;0.0118;0.0074503;0.39;
Non-renewable;Fossil fuel;IMPORTED_COAL;1000000000000000;0.4014;0.0219138;0.36;
Non-renewable;Fossil fuel;LOCAL_COAL;1000000000000000;0.4014;0.0219138;0.36;
Non-renewable;Other non-renewable;URANIUM;0;0.0039;0.0054640;0;
Non-renewable;Other non-renewable;WASTE;121;0.1501;0.0298687;0.26;
Non-renewable;Other non-renewable;H2;0;0.36380236;0.1094533;0;
Renewable;Biofuel;H2_RE;0;0;0.1943328;0;
Non-renewable;Other non-renewable;AMMONIA;0;0.285;0.1014871;0;
Non-renewable;Other non-renewable;METHANOL;0;0.35;0.1144465;0.24570329;
Renewable;Biofuel;AMMONIA_RE;0;0;0.1307511;0;
Renewable;Biofuel;METHANOL_RE;0;0;0.1726925;0.24570329;
Export;Export;ELEC_EXPORT;1000000000000000;0;0;0;
Export;Export;CO2_EMISSIONS;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_WIND;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_GEO;1000000000000000;0;0;0;
Others;Others;CO2_ATM ;1000000000000000;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;PT_HEAT;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;
