Name	Used	Potential
ELECTRICITY	333.820432	Infinity
GASOLINE	0.000607	Infinity
DIESEL	32721.232395	Infinity
BIOETHANOL	0.000473	Infinity
BIODIESEL	0.001573	Infinity
LFO	0.014332	Infinity
GAS	0.001844	Infinity
GAS_RE	0.000264	Infinity
WOOD	187452.023765	215000.000000
WET_BIOMASS	249999.999901	250000.000000
COAL	11931.048886	Infinity
URANIUM	104357.039108	Infinity
WASTE	53828.999983	53829.000000
H2	0.000006	Infinity
H2_RE	0.000003	Infinity
AMMONIA	0.000000	Infinity
METHANOL	0.001657	Infinity
AMMONIA_RE	0.001596	Infinity
METHANOL_RE	0.001321	Infinity
ELEC_EXPORT	484.584167	Infinity
CO2_EMISSIONS	162524.228854	Infinity
RES_WIND	378166.500229	Infinity
RES_SOLAR	334680.763983	Infinity
RES_HYDRO	106797.142879	Infinity
RES_GEO	9040.348054	Infinity
CO2_ATM	0.000694	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
