Name	Used	Potential
ELECTRICITY	0.000335	Infinity
GASOLINE	0.000378	Infinity
DIESEL	0.000588	Infinity
BIOETHANOL	0.002881	150000.000000
BIODIESEL	93205.111049	150000.000000
LFO	0.001135	Infinity
GAS	761.961276	Infinity
GAS_RE	0.000000	0.000000
WOOD	75072.999016	75073.000000
WET_BIOMASS	49781.995038	49782.000000
COAL	0.000835	100000000000000.000000
URANIUM	0.000000	0.000000
WASTE	0.006555	10347.000000
H2	0.000001	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000366	Infinity
METHANOL	0.000478	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	245.528136	Infinity
H2_EXPORT	0.000031	Infinity
GAS_RE_EXPORT	0.000004	Infinity
AMMONIA_EXPORT	0.000001	Infinity
METHANOL_EXPORT	0.000028	Infinity
CO2_EMISSIONS	36319.972137	Infinity
RES_WIND	0.009309	Infinity
RES_SOLAR	132125.120778	Infinity
RES_HYDRO	99832.598578	Infinity
RES_GEO	0.000967	Infinity
CO2_ATM	0.000157	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
