source,target,realValue,layerID,layerColor,layerUnit
Oil,NSC,107.70,Naphtha,#8B008B,TWh
Elec,NSC,1.26,Electricity,#00BFFF,TWh
Heat HT,NSC,1.02,Heat HT,#DC143C,TWh
NSC,HVC,59.23,HVC,#00FFFF,TWh
Woody biomass,Gasifi. to HVC,65.87,Woody biomass,#CD853F,TWh
Elec,Gasifi. to HVC,0.79,Electricity,#00BFFF,TWh
Heat HT,Gasifi. to HVC,1.44,Heat HT,#DC143C,TWh
Gasifi. to HVC,HVC,27.66,HVC,#00FFFF,TWh
HVC,Non-energy demand,86.90,HVC,#00FFFF,TWh
Fossil diesel,Diesel,65.44,Diesel,#D3D3D3,TWh
Diesel,Mob public,65.44,Diesel,#D3D3D3,TWh
Imported Gas,Gas,421.89,Gas,#FFD700,TWh
Nat. gas,Gas sto.,169.11,GAS,#FFD700,TWh
Gas sto.,Gas,165.75,GAS,#FFD700,TWh
Gas,Freight,175.45,GAS,#FFD700,TWh
Gas,HPs,63.81,GAS,#FFD700,TWh
Gas,refrig. cycles,221.85,GAS,#FFD700,TWh
Gas,Boilers,32.95,GAS,#FFD700,TWh
Uranium,Elec,104.36,Nuclear,#FFC0CB,TWh
Wind,Elec,303.89,Wind,#27AE34,TWh
Hydro River,Elec,59.97,Hydro River,#0000FF,TWh
Hydro Dams,Elec,62.19,Hydro Dam,#0000FF,TWh
Coal,Boilers,0.00,Coal,#A0522D,TWh
PV,Elec,8.93,PV,#FFFF00,TWh
PV,Elec,174.10,PV,#FFFF00,TWh
Geothermal,Elec,31.63,Geothermal,#FF0000,TWh
Wet biomass,Biomethanation,250.00,Woody biomass,#CD853F,TWh
Biomethanation,Gas,74.71,GAS,#FFD700,TWh
Elec,Mob priv,48.07,Electricity,#00BFFF,TWh
Elec,Freight,6.77,Electricity,#00BFFF,TWh
Elec,Exp & Loss,31.47,Electricity,#00BFFF,TWh
Elec,Curt.,75.90,Electricity,#00BFFF,TWh
Elec,Elec demand,186.51,Electricity,#00BFFF,TWh
PV,Curt.,6.69,Solar,#FFFF00,TWh
Wind,Curt.,5.50,Wind,#27AE34,TWh
Elec,Storage,62.95,Electricity,#00BFFF,TWh
Storage,Elec demand,55.85,Electricity,#00BFFF,TWh
Elec,HPs,160.01,Electricity,#00BFFF,TWh
Elec,refrig. cycles,21.50,Electricity,#00BFFF,TWh
Elec,refrig. cycles,10.05,Electricity,#00BFFF,TWh
Elec,Heat HT,57.51,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.01,H2,#FF00FF,TWh
H2,Freight,0.01,H2,#FF00FF,TWh
HPs,Dec. sto,36.59,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,283.81,Heat LT,#FA8072,TWh
HPs,DHN,340.46,Heat LT,#FA8072,TWh
refrig. cycles,Space cooling,391.29,SPACE_COOLING,#FA8072,TWh
refrig. cycles,Process cooling,24.35,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,34.62,Heat LT,#FA8072,TWh
Boilers,Heat HT,37.54,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,260.29,Heat LT,#FA8072,TWh
DHN,Loss DHN,17.02,Heat LT,#FA8072,TWh
DHN,DHN Sto,63.14,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,58.14,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,92.59,Heat HT,#DC143C,TWh
