Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	63437.999997	63438.000000
DIESEL	70949.000001	70949.000000
BIOETHANOL	6178.623293	7166.000000
BIODIESEL	2540.123909	2541.000000
LFO	40769.090911	Infinity
GAS	76088.990851	Infinity
GAS_RE	0.000000	0.000000
WOOD	38545.040315	1000000000000.000000
WET_BIOMASS	0.000000	1000000000000.000000
IMPORTED_COAL	0.000000	100000000000000.000000
LOCAL_COAL	41004.558637	100000000000000.000000
URANIUM	0.000000	0.000000
WASTE	0.000000	10347.000000
H2	0.000008	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000515	Infinity
METHANOL	0.000006	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000146	Infinity
CO2_EMISSIONS	26748.963518	Infinity
RES_WIND	4.586859	Infinity
RES_SOLAR	350.753214	Infinity
RES_HYDRO	60721.276799	Infinity
RES_GEO	0.000000	Infinity
CO2_ATM	0.000145	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
