TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844000	0.065586	0.000000
CCGT	2007.082800	47.944658	25.000000	2.430000	2.430000	2.430000	0.000000	0.172081	1.000000	0.656411	0.956000	0.081224	614.790000
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.590000	0.081224	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.863000	0.072238	0.000000
COAL_IGCC	2047.858150	29.906330	35.000000	0.611000	0.611000	0.611000	0.000000	0.056095	1.000000	0.851000	0.851000	0.072238	292.669000
BIOMASS_TO_POWER	376.383000	14.658000	35.000000	0.210000	0.210000	0.210000	0.000000	0.019665	1.000000	0.867997	0.868000	0.072238	69.636000
PV_ROOFTOP	88.546404	1.167203	25.000000	0.120000	0.120000	0.120000	0.000000	0.004320	1.000000	0.333669	1.000000	0.081224	365.520000
PV_UTILITY	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.081224	0.000000
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.081224	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.081224	0.000000
WIND_ONSHORE	1.120000	0.019100	30.000000	0.001000	0.001000	0.001000	0.000000	0.000056	1.000000	0.523598	1.000000	0.075785	0.917000
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.075785	0.000000
HYDRO_DAM	34193.683767	170.954609	40.000000	8.136000	8.139998	8.140000	0.000000	0.510651	1.000000	0.581500	1.000000	0.069840	20040.674998
HYDRO_RIVER	19069.787169	190.681233	40.000000	3.777000	3.779998	3.780000	0.000000	0.237133	1.000000	0.581500	1.000000	0.069840	6282.356563
TIDAL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.075785	0.000000
