;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[MUSD/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;1.00E+15;0.25;0.1049;0;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.43;0.0940;0.25;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.4;0.0911;0.27;
Renewable;Biofuel;BIOETHANOL;100000;0;0.1286;0.25;
Renewable;Biofuel;BIODIESEL;100000;0;0.1286;0.27;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.37;0.0687;0.28;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.33;0.0533;0.2;
Renewable;Biofuel;GAS_RE;0;0;0.1043;0.2;
Renewable;Biomass;WOOD;75073;0.01;0.0136;0.39;
Renewable;Biomass;WET_BIOMASS;49782;0.01;0.0190;0.39;
Non-renewable;Fossil fuel;IMPORTED_COAL;1.00E+15;0.47;0.0181;0.36;
Non-renewable;Fossil fuel;LOCAL_COAL;1.00E+15;0.47;0.0181;0.36;
Non-renewable;Other non-renewable;URANIUM;0;0;0.0039;0;
Non-renewable;Other non-renewable;WASTE;10347;0.19;0.0081;0.26;
Non-renewable;Other non-renewable;H2;1.00E+15;0.44;0.0955;0;
Renewable;Biofuel;H2_RE;0;0;0.1006;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.35;0.1141;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.42;0.1165;0.25;
Renewable;Biofuel;AMMONIA_RE;0;0;0.0709;0;
Renewable;Biofuel;METHANOL_RE;0;0;0.1001;0;
Export;Export;ELEC_EXPORT;1.00E+15;0;0.0000;0;
Export_e_fuels;Export_e_fuels;H2_EXPORT;1.00E+15;0;0.0000;0;
Export_e_fuels;Export_e_fuels;GAS_RE_EXPORT;1.00E+15;0;0.0000;0;
Export_e_fuels;Export_e_fuels;AMMONIA_EXPORT;1.00E+15;0;0.0000;0;
Export_e_fuels;Export_e_fuels;METHANOL_EXPORT;1.00E+15;0;0.0000;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0.0000;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0.0000;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0.0000;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0.0000;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0.0000;0;
Others;Others;CO2_ATM ;1.00E+15;0;0.0000;0;
Others;Others;CO2_INDUSTRY ;0;0;0.0000;0;
Others;Others;CO2_CAPTURED;0;0;0.0000;0;
Others;Others;PT_HEAT;0;0;0.0000;0;
Others;Others;ST_HEAT;0;0;0.0000;0;
