Name	Used	Potential
ELECTRICITY	0.002455	Infinity
GASOLINE	18872.486933	Infinity
DIESEL	0.001386	Infinity
BIOETHANOL	0.001117	150000.000000
BIODIESEL	0.000414	150000.000000
LFO	57076.323525	Infinity
GAS	128883.671372	Infinity
GAS_RE	0.000000	0.000000
WOOD	0.076438	75073.000000
WET_BIOMASS	49781.999960	49782.000000
COAL	45858.974210	100000000000000.000000
URANIUM	0.000000	0.000000
WASTE	0.011507	10347.000000
H2	0.000006	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.001179	Infinity
METHANOL	0.001820	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	233.396288	Infinity
H2_EXPORT	0.000098	Infinity
GAS_RE_EXPORT	0.000014	Infinity
AMMONIA_EXPORT	0.000002	Infinity
METHANOL_EXPORT	0.000001	Infinity
CO2_EMISSIONS	39626.686979	Infinity
RES_WIND	0.048163	Infinity
RES_SOLAR	71042.777942	Infinity
RES_HYDRO	86081.672563	Infinity
RES_GEO	0.001477	Infinity
CO2_ATM	0.000145	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
