;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[MUSD/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;1000000000000000;0.206485714;0.10264;0;
Non-renewable;Fossil fuel;GASOLINE;1000000000000000;0.3448;0.059778;0.25;
Non-renewable;Fossil fuel;DIESEL;1000000000000000;0.3148;0.065949;0.26;
Renewable;Biofuel;BIOETHANOL;1000000000000000;0;0.133408;0.25;
Renewable;Biofuel;BIODIESEL;1000000000000000;0;0.148472;0.26;
Non-renewable;Fossil fuel;LFO;1000000000000000;0.3115;0.039849;0.28;
Non-renewable;Fossil fuel;GAS;0;0.2666;0.024302;0.2;
Renewable;Biofuel;IMPORTED_GAS;1000000000000000;0.2666;0.024302;0.2;
Renewable;Biomass;WOOD;215000;0.0118;0.033949;0.39;
Renewable;Biomass;WET_BIOMASS;250000;0.0118;0.003504;0.39;
Non-renewable;Fossil fuel;IMPORTED_COAL;1000000000000000;0.3685;0.012151;0.331;
Non-renewable;Fossil fuel;LOCAL_COAL;1000000000000000;0.4343;0.008627;0.389;
Non-renewable;Other non-renewable;URANIUM;1000000000000000;0.0039;0.004718;0;
Non-renewable;Other non-renewable;WASTE;53829;0.1501;0.028092;0.26;
Non-renewable;Other non-renewable;H2;1000000000000000;0.36380236;0.107112;0;
Renewable;Biofuel;H2_RE;1000000000000000;0;0.145132;0;
Non-renewable;Other non-renewable;AMMONIA;1000000000000000;0.285;0.115278;0;
Non-renewable;Other non-renewable;METHANOL;1000000000000000;0.35;0.124129;0.24570329;
Renewable;Biofuel;AMMONIA_RE;1000000000000000;0;0.099589;0;
Renewable;Biofuel;METHANOL_RE;1000000000000000;0;0.135495;0.24570329;
Export;Export;ELEC_EXPORT;1000000000000000;0;0.092376;0;
Export;Export;CO2_EMISSIONS;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_WIND;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1000000000000000;0;0;0;
Renewable;Non-biomass;RES_GEO;1000000000000000;0;0;0;
Others;Others;CO2_ATM ;1000000000000000;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;PT_HEAT;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;
