Name	Used	Potential
ELECTRICITY	3188.467494	Infinity
GASOLINE	0.000248	Infinity
DIESEL	0.000917	Infinity
BIOETHANOL	49999.998604	50000.000000
BIODIESEL	49999.999627	50000.000000
LFO	0.000665	Infinity
GAS	3214.174488	Infinity
IMPORTED_GAS	0.000000	0.000000
WOOD	24599.999968	24600.000000
WET_BIOMASS	29900.000002	29900.000000
IMPORTED_COAL	0.000000	Infinity
LOCAL_COAL	0.000455	Infinity
URANIUM	0.000000	0.000000
WASTE	0.001497	10347.000000
H2	0.000000	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000133	Infinity
METHANOL	0.000163	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	344.200828	Infinity
H2_EXPORT	0.000986	Infinity
GAS_RE_EXPORT	0.000026	Infinity
AMMONIA_EXPORT	0.000003	Infinity
METHANOL_EXPORT	0.000017	Infinity
CO2_EMISSIONS	5162.275036	Infinity
RES_WIND	199531.968517	Infinity
RES_SOLAR	48454.197382	Infinity
RES_HYDRO	94013.074637	Infinity
RES_GEO	0.000593	Infinity
CO2_ATM	0.000363	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
