Name,C_inv,C_maint,C_op,,
MOTORCYCLE_ELECTRIC,8709.459204,1025.076975,0,,
CAR_BEV,10865.103432,1892.449737,0,,
CAR_FUEL_CELL,0.000005,0.000001,0,,
TRAIN_FREIGHT,121.227637,34.714159,0,,
BOAT_FREIGHT_DIESEL,0.000043,0.00003,0,,
BOAT_FREIGHT_NG,364.54198,253.963592,0,,
BOAT_FREIGHT_METHANOL,0,0,0,,
TRUCK_DIESEL,0,0,0,,
TRUCK_GASOLINE,0,0,0,,
TRUCK_METHANOL,0,0,0,,
TRUCK_FUEL_CELL,2630.141319,741.890035,0,,
TRUCK_ELEC,0,0,0,,
TRUCK_NG,0.000001,0.000001,0,,
HABER_BOSCH,0.000019,0.000004,0,,
OIL_TO_HVC,0.000018,0.000001,0,,
GAS_TO_HVC,0.000012,0.000003,0,,
BIOMASS_TO_HVC,316.548252,104.888016,0,,
METHANOL_TO_HVC,85.365865,85.330587,0,,
SYN_METHANOLATION,69.37643,21.866008,0,,
METHANE_TO_METHANOL,0.000012,0.000006,0,,
BIOMASS_TO_METHANOL,168.291214,28.55628,0,,
DAM_STORAGE,0,0,0,,
PHS,0,0,0,,
BATT_LI,0.000389,0.000006,0,,
BEV_BATT,0,0,0,,
PHEV_BATT,0,0,0,,
TS_DEC_DIRECT_ELEC,52.541807,4.432962,0,,
TS_DEC_HP_ELEC,126.308345,10.65666,0,,
TS_DEC_THHP_GAS,0.000053,0.000004,0,,
TS_DEC_COGEN_GAS,0.000053,0.000004,0,,
TS_DEC_COGEN_OIL,0.000053,0.000004,0,,
TS_DEC_ADVCOGEN_GAS,0.000052,0.000004,0,,
TS_DEC_ADVCOGEN_H2,0.000053,0.000004,0,,
TS_DEC_BOILER_GAS,0.000053,0.000004,0,,
TS_DEC_BOILER_WOOD,0.000053,0.000004,0,,
TS_COAL_STOVE,0.000598,0.00005,0,,
TS_DEC_BOILER_OIL,0.000053,0.000004,0,,
TS_DHN_DAILY,0.000069,0.000003,0,,
TS_DHN_SEASONAL,130.343814,0,0,,
TS_HIGH_TEMP,290.273354,38.248848,0,,
GAS_STORAGE,93.87991,0,0,,
H2_STORAGE,25.397206,1.367088,0,,
DIESEL_STORAGE,0.000713,0,0,,
GASOLINE_STORAGE,0.00071,0,0,,
LFO_STORAGE,0.000708,0,0,,
AMMONIA_STORAGE,0.000707,0,0,,
METHANOL_STORAGE,0.182101,0,0,,
CO2_STORAGE,0.146223,0.01624,0,,
PT_STORAGE,0.000727,0.00009,0,,
ST_STORAGE,0.000685,0.000084,0,,
TS_COLD,3.925176,0.523143,0,,
CAES,0,0,0,,
EFFICIENCY,0,0,0,,
DHN,345.038245,0,0,,
GRID,32394.20812,0,0,,
HVAC_LINE,0.000015,0.000004,0,,
PT_COLLECTOR,0.000195,0.000033,0,,
ST_COLLECTOR,0.000186,0.000026,0,,
H2_ELECTROLYSIS,1608.83212,418.785189,0,,
SMR,0.000009,0.00001,0,,
H2_BIOMASS,0.000012,0.00001,0,,
GASIFICATION_SNG,0.000027,0.000012,0,,
SYN_METHANATION,138.787631,507.735032,0,,
BIOMETHANATION,0.000042,0.000007,0,,
BIO_HYDROLYSIS,544.700807,308.811166,0,,
PYROLYSIS_TO_LFO,0.000049,0.000014,0,,
PYROLYSIS_TO_FUELS,0.000024,0.000004,0,,
ATM_CCS,0.000025,0.000009,0,,
INDUSTRY_CCS,481.868161,171.269905,0,,
AMMONIA_TO_H2,0.000009,0.00001,0,,
ELECTRICITY,0,0,0.000014,,
GASOLINE,0,0,0.000019,,
DIESEL,0,0,0.000027,,
BIOETHANOL,0,0,0.000115,,
BIODIESEL,0,0,0.000647,,
LFO,0,0,0.000027,,
GAS,0,0,0,,
GAS_RE,0,0,0,,
WOOD,0,0,1020.9928,,
WET_BIOMASS,0,0,945.857971,,
COAL,0,0,0.000009,,
URANIUM,0,0,0,,
WASTE,0,0,10.719679,,
H2,0,0,0,,
H2_RE,0,0,0,,
AMMONIA,0,0,0.000016,,
METHANOL,0,0,0.000025,,
AMMONIA_RE,0,0,0,,
METHANOL_RE,0,0,0,,
ELEC_EXPORT,0,0,0,,
H2_EXPORT,0,0,0,,
GAS_RE_EXPORT,0,0,0,,
AMMONIA_EXPORT,0,0,0,,
METHANOL_EXPORT,0,0,0,,
CO2_EMISSIONS,0,0,0,,
RES_WIND,0,0,0,,
RES_SOLAR,0,0,0,,
RES_HYDRO,0,0,0,,
RES_GEO,0,0,0,,
CO2_ATM,0,0,0,,
CO2_INDUSTRY,0,0,0,,
CO2_CAPTURED,0,0,0,,
PT_HEAT,0,0,0,,
ST_HEAT,0,0,0,,
