Name	Used	Potential
ELECTRICITY	0.000223	Infinity
GASOLINE	0.000561	Infinity
DIESEL	0.000286	Infinity
BIOETHANOL	0.000430	150000.000000
BIODIESEL	0.000192	150000.000000
LFO	5397.211538	Infinity
GAS	128883.480416	Infinity
GAS_RE	0.000000	0.000000
WOOD	75073.000035	75073.000000
WET_BIOMASS	49782.000013	49782.000000
COAL	0.005473	100000000000000.000000
URANIUM	0.000000	0.000000
WASTE	10347.000001	10347.000000
H2	0.000001	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000194	Infinity
METHANOL	0.000351	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	186.064733	Infinity
H2_EXPORT	0.000008	Infinity
GAS_RE_EXPORT	0.000002	Infinity
AMMONIA_EXPORT	0.000000	Infinity
METHANOL_EXPORT	0.000005	Infinity
CO2_EMISSIONS	41649.594124	Infinity
RES_WIND	0.002956	Infinity
RES_SOLAR	108165.381393	Infinity
RES_HYDRO	82048.680069	Infinity
RES_GEO	0.000254	Infinity
CO2_ATM	0.000036	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
