Name	Used	Potential
ELECTRICITY	72.678909	Infinity
GASOLINE	0.007145	Infinity
DIESEL	0.002018	Infinity
BIOETHANOL	0.000839	100000.000000
BIODIESEL	0.000677	100000.000000
LFO	11979.946173	Infinity
GAS	115083.307674	Infinity
GAS_RE	0.000000	0.000000
WOOD	75073.000036	75073.000000
WET_BIOMASS	0.013852	49782.000000
IMPORTED_COAL	0.000000	Infinity
LOCAL_COAL	50998.939119	Infinity
URANIUM	0.000000	0.000000
WASTE	10346.999992	10347.000000
H2	0.000004	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000617	Infinity
METHANOL	0.001558	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	139.987845	Infinity
H2_EXPORT	0.000002	Infinity
GAS_RE_EXPORT	0.000003	Infinity
AMMONIA_EXPORT	0.000004	Infinity
METHANOL_EXPORT	0.000073	Infinity
CO2_EMISSIONS	43571.510748	Infinity
RES_WIND	117949.305037	Infinity
RES_SOLAR	45162.609369	Infinity
RES_HYDRO	57018.253180	Infinity
RES_GEO	0.001159	Infinity
CO2_ATM	0.000716	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
