Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,11660.3,38110.1,85208.7,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3581.9,11707.0,26175.2,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,62943.7,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,17576.7,11544.6,29108.4,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1462.6,0.0,14554.0,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,660.4,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3296.5,7235.9,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,448258.8,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,226745.8,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,64075.2,0.0,[GWh]
