Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	69434.999998	69435.000000
DIESEL	70949.000002	70949.000000
BIOETHANOL	7165.668584	7166.000000
BIODIESEL	2540.123958	2541.000000
LFO	40769.090908	Infinity
GAS	76295.024560	Infinity
GAS_RE	0.000000	0.000000
WOOD	38357.128682	1000000000000.000000
WET_BIOMASS	0.000000	1000000000000.000000
COAL	40989.968990	100000000000000.000000
URANIUM	0.000000	0.000000
WASTE	0.000000	10347.000000
H2	0.000001	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000116	Infinity
METHANOL	0.000007	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000034	Infinity
CO2_EMISSIONS	26662.266826	Infinity
RES_WIND	4.586937	Infinity
RES_SOLAR	350.753239	Infinity
RES_HYDRO	60719.764205	Infinity
RES_GEO	0.000000	Infinity
CO2_ATM	0.000036	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
