Name	Used	Potential
ELECTRICITY	3331.378632	Infinity
GASOLINE	3019.598344	Infinity
DIESEL	114256.956024	Infinity
BIOETHANOL	0.000239	50000.000000
BIODIESEL	0.000581	50000.000000
LFO	57076.366442	Infinity
GAS	30326.784104	Infinity
IMPORTED_GAS	0.000000	0.000000
WOOD	24600.000027	24600.000000
WET_BIOMASS	29899.999992	29900.000000
IMPORTED_COAL	0.000000	Infinity
LOCAL_COAL	93791.644332	Infinity
URANIUM	0.000000	0.000000
WASTE	10346.999995	10347.000000
H2	0.000001	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000130	Infinity
METHANOL	0.000140	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	48.174459	Infinity
H2_EXPORT	0.000005	Infinity
GAS_RE_EXPORT	0.000002	Infinity
AMMONIA_EXPORT	0.000065	Infinity
METHANOL_EXPORT	0.000001	Infinity
CO2_EMISSIONS	64388.083820	Infinity
RES_WIND	0.004325	Infinity
RES_SOLAR	34040.420866	Infinity
RES_HYDRO	62721.231941	Infinity
RES_GEO	0.000214	Infinity
CO2_ATM	0.000056	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
