Name	Used	Potential
ELECTRICITY	327.608244	Infinity
GASOLINE	0.001552	Infinity
DIESEL	32721.232035	Infinity
BIOETHANOL	0.001182	Infinity
BIODIESEL	0.004029	Infinity
LFO	0.029798	Infinity
GAS	0.008874	Infinity
GAS_RE	0.000675	Infinity
WOOD	206906.260247	215000.000000
WET_BIOMASS	249999.999815	250000.000000
IMPORTED_COAL	84862.062088	Infinity
LOCAL_COAL	0.021209	Infinity
URANIUM	104357.039127	Infinity
WASTE	0.060402	53829.000000
H2	0.000017	Infinity
H2_RE	0.000008	Infinity
AMMONIA	0.000000	Infinity
METHANOL	0.004623	Infinity
AMMONIA_RE	0.004106	Infinity
METHANOL_RE	0.003626	Infinity
ELEC_EXPORT	432.544954	Infinity
CO2_EMISSIONS	181382.771059	Infinity
RES_WIND	379236.673834	Infinity
RES_SOLAR	289183.843114	Infinity
RES_HYDRO	110037.190554	Infinity
RES_GEO	9040.398358	Infinity
CO2_ATM	0.001563	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
