source,target,realValue,layerID,layerColor,layerUnit
Oil,NSC,158.00,Naphtha,#8B008B,TWh
Elec,NSC,1.84,Electricity,#00BFFF,TWh
Heat HT,NSC,1.50,Heat HT,#DC143C,TWh
NSC,HVC,86.90,HVC,#00FFFF,TWh
HVC,Non-energy demand,86.90,HVC,#00FFFF,TWh
Fossil diesel,Diesel,65.44,Diesel,#D3D3D3,TWh
Diesel,Mob public,65.44,Diesel,#D3D3D3,TWh
Nat. gas,Gas,634.90,Gas,#FFD700,TWh
Imported Gas,Gas,1.62,Gas,#FFD700,TWh
Nat. gas,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas,Freight,175.46,GAS,#FFD700,TWh
Gas,HPs,212.44,GAS,#FFD700,TWh
Gas,refrig. cycles,248.62,GAS,#FFD700,TWh
Uranium,Elec,104.36,Nuclear,#FFC0CB,TWh
Wind,Elec,146.30,Wind,#27AE34,TWh
Hydro River,Elec,62.87,Hydro River,#0000FF,TWh
Hydro Dams,Elec,62.19,Hydro Dam,#0000FF,TWh
Coal,Elec,310.76,Coal,#A0522D,TWh
Coal,Boilers,0.00,Coal,#A0522D,TWh
PV,Elec,8.93,PV,#FFFF00,TWh
PV,Elec,72.74,PV,#FFFF00,TWh
Geothermal,Elec,9.04,Geothermal,#FF0000,TWh
Elec,Mob priv,48.07,Electricity,#00BFFF,TWh
Elec,Freight,6.77,Electricity,#00BFFF,TWh
Elec,Exp & Loss,24.55,Electricity,#00BFFF,TWh
Elec,Curt.,89.09,Electricity,#00BFFF,TWh
Elec,Elec demand,212.22,Electricity,#00BFFF,TWh
PV,Curt.,0.04,Solar,#FFFF00,TWh
Wind,Curt.,0.03,Wind,#27AE34,TWh
Elec,Storage,30.76,Electricity,#00BFFF,TWh
Storage,Elec demand,30.14,Electricity,#00BFFF,TWh
Elec,HPs,84.72,Electricity,#00BFFF,TWh
Elec,refrig. cycles,8.22,Electricity,#00BFFF,TWh
Elec,refrig. cycles,10.05,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
HPs,Dec. sto,8.30,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,310.34,Heat LT,#FA8072,TWh
HPs,DHN,338.89,Heat LT,#FA8072,TWh
refrig. cycles,Space cooling,387.99,SPACE_COOLING,#FA8072,TWh
refrig. cycles,Process cooling,24.35,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,8.09,Heat LT,#FA8072,TWh
Boilers,Heat HT,94.09,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,266.92,Heat LT,#FA8072,TWh
DHN,Loss DHN,16.94,Heat LT,#FA8072,TWh
DHN,DHN Sto,55.03,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,51.52,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,92.59,Heat HT,#DC143C,TWh
