;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;1.00E+15;0.2065;0.0843300;0;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.0823660;0.25;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.0797438;0.27;
Renewable;Biofuel;BIOETHANOL;100000;0;0.1113239;0.25;
Renewable;Biofuel;BIODIESEL;100000;0;0.1200750;0.27;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.0601506;0.28;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.0442531;0.2;
Renewable;Biofuel;GAS_RE;0;0;0.1183260;0.2;
Renewable;Biomass;WOOD;75073;0.0118;0.0328151;0.39;
Renewable;Biomass;WET_BIOMASS;49782;0.0118;0.0057574;0.39;
Non-renewable;Fossil fuel;COAL;1.00E+15;0.4014;0.0176579;0.36;
Non-renewable;Other non-renewable;URANIUM;0;0.0039;0.0038765;0;
Non-renewable;Other non-renewable;WASTE;10347;0.1501;0.0230809;0.26;
Non-renewable;Other non-renewable;H2;1.00E+15;0.3638;0.0880040;0;
Renewable;Biofuel;H2_RE;0;0;0.1192424;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.0947140;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.1019858;0.25;
Renewable;Biofuel;AMMONIA_RE;0;0;0.0818233;0;
Renewable;Biofuel;METHANOL_RE;0;0;0.1113239;0;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;
Export_e_fuels;Export_e_fuels;H2_EXPORT;1.00E+15;0;0;0;
Export_e_fuels;Export_e_fuels;GAS_RE_EXPORT;1.00E+15;0;0;0;
Export_e_fuels;Export_e_fuels;AMMONIA_EXPORT;1.00E+15;0;0;0;
Export_e_fuels;Export_e_fuels;METHANOL_EXPORT;1.00E+15;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATM ;1.00E+15;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;PT_HEAT;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;
